platinum_number,title,artist,language,genre
3416,(Everything I Do) I Do It For You,Bryan Adams,English,
17519,(Forever) Live And Die,OMD,English,
16162,(Frozen OST),Frozen,English,
17488,(Hallelujah),Andy Grammer,English,
7534,(I Just Died) In Your Arms Tonight,Cutting Crew,English,
7538,(I've Had) The Time Of My Life,Dirty Dancing Theme,English,
7369,(Nice To Be) Happy,Alexia,English,
17622,(Piano Version),Boyfriends,English,
17434,(SadSong),Otis Redding,English,
17176,(The Other Side),The Doors,English,
16966,(Whip/Nae Nae),Silento,English,
7537,(You Drive Me) Crazy,Britney Spears,English,
3031,(You’re) Having My,Paul Anka,English,
16278,+63,Spongecola Feat. Yeng,Filipino,
11644,1 + 1,Beyonce,English,
15397,1 Week To Move On,Isabelle De Leon,English,
17209,"1, 2, 3, 4",Plain White T's,English,
17222,1-2-3,Gloria,English,
6020,10 Guitars,E.Humperdinck,English,
17381,10 Seconds,Jazmin,English,
3298,12 Days Of Christmas,Traditional,English,
11846,12:51,Krissy And,English,
11869,1985,Bowling for,English,
17162,1995,Eraserheads,Filipino,
4285,2 Become 1,Spice Girls,English,
11646,2 Different Tears,Wonder Girls,English,
6032,2 In A Million,S Club 7,English,
4911,2 Times,Ann Lee,English,
15682,20 Million,Rivermaya,Filipino,
17224,20/20,Pupil,Filipino,
5872,214,Rivermaya,Filipino,
17383,24/Seven,Big Time Rush,English,
4266,25 6 To 4,Chicago,English,
4324,25 Minutes,Michael Learns,English,
1766,3 A.M.,Matchbox 20,English,
17384,3 AM,Kate Nash,English,
11148,3 Words,Cheryl Cole Ft,English,
17385,4 In The Morning,Gwen Stefani,English,
17330,40 Kinds Of Sadness,Ryan Cabrera,English,
17387,5 19,Matt Wertz,English,
11771,5 O'clock,T Pain Ft. Wiz Khalifa & Lily,English,
9908,50 Ways To Leave Your Lover,Bamboo,Filipino,
11557,6 Foot 7 Foot,Lil Wayne,English,
16980,628,Euroupe,English,
9110,7 Twenty 7,Roxette,English,
15349,93 Million Miles,Jason Mraz,English,
17518,A Ba Ka Da,Florante,Filipino,
11884,A Beautiful Lie,30 Seconds To Mars,English,
17730,A Better Man,Toni Braxton,English,
7551,A Better Man,Ogie Alcasid,Filipino,
4391,A Big Hunk O' Love,Elvis Presley,English,
7597,A Broken Spirit,Gospel Song,English,
17388,A Call to Arms,Urbandub,Filipino,
17725,A Certain Smile,Introvoys,Filipino,
2923,A Certain Smile,Johnny Mathis,English,
3312,A Day In The Life,The Beatles,English,
9807,A Day On A Rainbow,Gerald Santos,English,
13673,A Fish Alive,A Bicycle Built,English,
1564,A Fool Such As I,Elvis Presley,English,
17044,A Friend,Keno,English,
13610,A Frog Went A Courting,Unknown,English,
7872,A Girl Can Dream,Nina,Filipino,
17782,A Girl Like You,Kevon Edmonds &,English,
7541,A Girl Like You,Edwyn Collins,English,
2945,A Hard Days Night,Beatles,English,
0075,A Hazy Shade Of Winter,Bangles,English,
7566,A Heart Like Mine,Charlotte Dample,English,
0088,A Horse With No Name,America,English,
17783,A House Is Not A Home,Dionne Warwick,English,
13611,A Hunting We Will Go,Unknown,English,
7543,A Kind Of Magic,Queen,English,
7881,A Little Bit,M.Y.M.P.,English,
